MagicalEnergy,MagicalExperience,WizardFamily,Type
74,64,0,Wizard
67,23,0,Wizard
80,55,1,Wizard
98,89,1,Wizard
78,50,1,Wizard
82,38,0,Wizard
70,80,1,Wizard
70,73,1,Wizard
83,58,1,Wizard
95,93,0,Wizard
99,38,0,Wizard
83,58,0,Wizard
62,86,1,Wizard
81,64,1,Wizard
61,32,1,Wizard
83,77,0,Wizard
89,39,0,Wizard
97,91,1,Wizard
61,80,0,Wizard
80,58,0,Wizard
92,20,0,Wizard
71,22,0,Wizard
81,96,1,Wizard
84,81,0,Wizard
86,82,0,Wizard
87,44,0,Wizard
75,75,0,Wizard
74,52,1,Wizard
62,57,1,Wizard
96,25,0,Wizard
66,77,0,Wizard
80,63,0,Wizard
68,64,0,Wizard
98,51,0,Wizard
77,64,0,Wizard
63,80,1,Wizard
84,66,0,Wizard
73,40,1,Wizard
68,99,1,Wizard
85,94,0,Wizard
61,55,1,Wizard
79,38,1,Wizard
87,39,1,Wizard
66,76,1,Wizard
67,37,1,Wizard
94,66,1,Wizard
73,68,0,Wizard
76,33,1,Wizard
95,34,1,Wizard
99,50,1,Wizard
63,20,0,Wizard
61,73,1,Wizard
65,22,0,Wizard
63,35,1,Wizard
88,76,0,Wizard
77,94,0,Wizard
85,31,1,Wizard
93,93,1,Wizard
69,35,0,Wizard
95,91,1,Wizard
73,95,0,Wizard
90,43,0,Wizard
74,47,0,Wizard
67,27,0,Wizard
73,55,0,Wizard
82,27,1,Wizard
99,77,0,Wizard
80,79,0,Wizard
75,69,1,Wizard
77,47,0,Wizard
83,60,1,Wizard
85,83,1,Wizard
84,46,1,Wizard
100,82,0,Wizard
88,36,0,Wizard
74,92,0,Wizard
60,52,1,Wizard
84,96,0,Wizard
66,48,1,Wizard
68,32,0,Wizard
83,65,1,Wizard
60,54,0,Wizard
67,25,0,Wizard
83,88,0,Wizard
70,66,1,Wizard
76,44,1,Wizard
67,85,0,Wizard
94,29,0,Wizard
94,75,1,Wizard
92,49,1,Wizard
64,24,1,Wizard
98,52,0,Wizard
100,84,1,Wizard
87,37,0,Wizard
66,68,1,Wizard
68,30,0,Wizard
67,45,1,Wizard
71,82,1,Wizard
93,78,1,Wizard
92,46,1,Wizard
82,68,1,Wizard
83,96,0,Wizard
96,52,1,Wizard
94,20,1,Wizard
99,40,1,Wizard
81,74,0,Wizard
86,25,1,Wizard
94,100,0,Wizard
60,88,1,Wizard
94,24,1,Wizard
96,22,0,Wizard
73,72,1,Wizard
62,42,0,Wizard
60,72,0,Wizard
64,56,1,Wizard
85,93,0,Wizard
73,93,1,Wizard
98,36,1,Wizard
86,97,0,Wizard
68,92,0,Wizard
74,20,0,Wizard
74,70,0,Wizard
85,64,1,Wizard
72,96,1,Wizard
91,23,0,Wizard
98,81,1,Wizard
91,84,1,Wizard
63,51,1,Wizard
89,53,1,Wizard
96,91,0,Wizard
82,58,0,Wizard
98,45,1,Wizard
74,53,0,Wizard
88,73,0,Wizard
95,22,0,Wizard
72,69,1,Wizard
91,31,1,Wizard
66,84,1,Wizard
81,73,0,Wizard
87,24,1,Wizard
61,76,1,Wizard
65,36,0,Wizard
87,66,1,Wizard
87,42,1,Wizard
79,98,0,Wizard
89,33,0,Wizard
70,85,0,Wizard
87,94,1,Wizard
84,70,1,Wizard
98,57,1,Wizard
92,83,0,Wizard
60,57,0,Wizard
86,69,1,Wizard
72,49,1,Wizard
100,98,0,Wizard
62,70,0,Wizard
98,82,0,Wizard
65,71,0,Wizard
67,57,1,Wizard
86,98,0,Wizard
68,49,1,Wizard
96,70,1,Wizard
92,100,1,Wizard
83,24,0,Wizard
74,48,0,Wizard
91,23,0,Wizard
91,29,0,Wizard
83,75,1,Wizard
100,36,0,Wizard
71,93,0,Wizard
98,36,1,Wizard
61,88,0,Wizard
62,53,1,Wizard
96,25,1,Wizard
76,72,1,Wizard
61,85,1,Wizard
61,96,1,Wizard
87,62,1,Wizard
82,94,1,Wizard
96,42,1,Wizard
91,74,0,Wizard
92,99,0,Wizard
60,94,0,Wizard
78,35,0,Wizard
61,27,1,Wizard
85,23,0,Wizard
91,23,1,Wizard
65,75,0,Wizard
91,44,0,Wizard
63,86,0,Wizard
70,86,1,Wizard
76,46,0,Wizard
97,51,1,Wizard
83,69,1,Wizard
64,80,0,Wizard
93,70,0,Wizard
65,38,0,Wizard
81,40,1,Wizard
70,24,0,Wizard
75,61,1,Wizard
92,80,1,Wizard
68,41,0,Wizard
65,40,0,Wizard
75,89,1,Wizard
88,20,1,Wizard
62,24,1,Wizard
79,31,0,Wizard
95,65,1,Wizard
78,53,0,Wizard
85,68,1,Wizard
62,97,1,Wizard
78,64,0,Wizard
79,46,1,Wizard
91,92,0,Wizard
66,45,0,Wizard
100,66,1,Wizard
92,75,0,Wizard
99,82,0,Wizard
98,67,1,Wizard
77,80,0,Wizard
99,100,0,Wizard
60,45,0,Wizard
70,55,1,Wizard
87,20,0,Wizard
84,27,1,Wizard
82,71,1,Wizard
90,98,0,Wizard
89,66,0,Wizard
94,75,0,Wizard
66,33,1,Wizard
75,47,0,Wizard
85,97,0,Wizard
61,21,0,Wizard
60,45,0,Wizard
71,33,0,Wizard
64,78,1,Wizard
96,75,1,Wizard
91,26,0,Wizard
68,22,0,Wizard
100,42,0,Wizard
94,37,0,Wizard
78,57,1,Wizard
75,34,0,Wizard
62,83,1,Wizard
79,47,1,Wizard
83,93,0,Wizard
92,58,1,Wizard
83,76,1,Wizard
70,36,1,Wizard
67,63,1,Wizard
95,44,0,Wizard
97,36,0,Wizard
99,32,1,Wizard
79,44,0,Wizard
94,87,0,Wizard
84,29,0,Wizard
94,86,0,Wizard
84,37,0,Wizard
88,53,1,Wizard
77,27,0,Wizard
77,59,0,Wizard
61,61,0,Wizard
94,60,0,Wizard
75,25,1,Wizard
100,71,1,Wizard
95,45,1,Wizard
92,83,1,Wizard
63,78,0,Wizard
92,75,1,Wizard
73,78,0,Wizard
80,89,0,Wizard
79,52,0,Wizard
67,72,0,Wizard
66,41,0,Wizard
62,40,1,Wizard
76,89,1,Wizard
92,89,1,Wizard
71,23,1,Wizard
81,94,0,Wizard
81,81,1,Wizard
89,81,0,Wizard
97,43,1,Wizard
97,74,0,Wizard
67,28,0,Wizard
86,22,1,Wizard
86,50,0,Wizard
93,59,0,Wizard
80,55,1,Wizard
89,43,0,Wizard
92,25,1,Wizard
87,85,1,Wizard
92,94,1,Wizard
64,23,0,Wizard
78,98,0,Wizard
63,25,0,Wizard
94,70,1,Wizard
76,81,0,Wizard
87,76,1,Wizard
89,85,1,Wizard
88,98,0,Wizard
65,94,1,Wizard
94,27,0,Wizard
100,45,0,Wizard
96,70,0,Wizard
83,64,0,Wizard
88,63,0,Wizard
90,24,1,Wizard
94,89,1,Wizard
92,45,1,Wizard
80,87,0,Wizard
91,38,0,Wizard
82,39,0,Wizard
92,31,1,Wizard
62,66,0,Wizard
77,20,1,Wizard
84,33,1,Wizard
90,83,0,Wizard
62,57,0,Wizard
99,56,1,Wizard
83,30,0,Wizard
91,96,1,Wizard
81,22,0,Wizard
82,52,0,Wizard
61,25,1,Wizard
86,69,0,Wizard
61,29,1,Wizard
85,24,0,Wizard
76,42,1,Wizard
99,29,1,Wizard
92,63,0,Wizard
68,21,1,Wizard
98,32,0,Wizard
88,59,0,Wizard
85,21,0,Wizard
94,84,1,Wizard
84,82,1,Wizard
83,92,0,Wizard
72,36,0,Wizard
66,28,1,Wizard
95,94,0,Wizard
79,34,0,Wizard
60,43,1,Wizard
67,57,0,Wizard
75,54,1,Wizard
73,68,0,Wizard
71,88,1,Wizard
82,81,0,Wizard
74,79,0,Wizard
87,69,1,Wizard
